,문장,혐오 여부
109,@연봉2000 ㅇㅇ 지마누라는 탈김치인줄 하다가 다 개지랄남,3
110,@익명f25304 싫다,0
111,한국에는 북한이 아니라 중국이 가장 큰 위협이다,2
112,@명철보신 ㅋㅋㅋㅋㅋㅋㅋㅋ,1
113,"@Illumini 박정희 전두환 만세

머중이 홍어좆물로 태어난 개새끼^^",1
114,@MHCorp 중국 공식 발표 x 100 하면 딱 맞음,2
115,반은 중국아녀?,2
116,"맨 막줄 빼고 다 해당되는데 ㅋㅋ 결혼 글럿누 ㅋㅋ
어짜피 생각도 없지만 ㅋㅋ",3
117,살처분 말고는 답이 없다,0
118,@개정은비서문치매 좌파코인보단 좋은현상임,1
119,"https://m.post.naver.com/viewer/postView.nhn?volumeNo=27637709&memberNo=29949587&vType=VERTICAL

위구르족 최고 미녀라는데 얘는 왜 중국에서 활동하고 있냐? 누구 첩인가?

이쁘긴 젓나 이쁘던데",2
120,@익명f3d578 ㄹㅇ,0
121,병신찐따,0
122,@모욕고소벌금감별사 닥 ㅇㅂ,1
123,@익명e5d73f 진짜냐? 캡쳐본 있으면 글 한번 올려보지그래? 올리면 ㅇㅂ 준다,3
124,@섹스카우 그만큼 학폭이 무서운거란 반증. 평생 갈걸?,3
125,씨발것들 중국은 한국산 맛데리채용하면 아무런해택을주지않는데 이거는 뭐하는데 중국차를 가지고와서 혜택준다고들난리니!!! 나원참 정말 중국의 속국으로 살기로 작정한모양이다 문재앙 언른 4년지나가라!!!!,2
126,아버지~,1
127,느릅나무출판사에서 문재인 좆될거란 씹새 나와라 형 화났다,2
128,"한국=북한
탈출해라. 탈출할 수 있는 시간도 이제 얼마 안남았다",1
129,운기형 개쌍남자 ㅇㅂ,3
130,@글로발개자지 존나 솔로몬이네 ㅋㅋㅋ,3
131,"시청직원들 자살은?
조카 마약은 우찌 됐노?",1
132,저 중에도 전라도 사람 있을낀데,0
133,"@애소홀 병신저능년아 여자가 남자보다 능력이 현저하게 딸리고 대부분 직장에서 쓸모가 없는데 양질의 직장을 가지면 나라 망한다니까 저능 피싸개답게 말귀 존나 못알처묵네ㅋㅋㅋㅋㅋㅋ


솔직히 오또케 피싸개가 꼭 필요한데는 술집밖에 더있냐? 그것도 얼굴 씹빻아서 아무도 지명안하는 너같은 년은 해당안되지만....ㅋㅋㅋㅋ",3
134,"병신들아..너네들 바둑 안 둬봤지?
우리나라는 지정학적으로 두개의 거대한 공산국가와 그끝에 북한에 연결된 아시아 대륙의 꼬리에 위치한다. 그리고 지척의 거리에 일본..만약에 한국이 어찌어찌해서 공산국가가 되면 미국의 엄청난 전략적 불리함을 초래하지..그렇게 되도록 미국이 그냥 철수해 버리고 보고만 있을까? 수싸움이다",2
135,쟤 관상이 7시 그곳같은데?,3
136,중국새끼들 기침 예절 몰라서 더 지랄난듯,2
137,ㅋㅋ 진짜 지잡대 나온거 티내노 일본에서 못들어오게 하면 또 ㅈㄹ 할 시끼,2
138,"배현진도

박근혜처럼 비혼이라서 넘 좋다",1
139,갓본은 아시아의 킹갓본,2
140,싸이 매국노냐,2
141,간첩이 대통령이라는게 이렇게 무섭다.,2
142,그러니..씨발 그 착한마누라랑 이혼하지;;,3
143,친지해 니 좆물 아니술도,2
144,"@6600볼트 야이 병신 새끼야.. 바다 한가운데서 신고 들어왔는데 타임 머신 타고 가냐? 좆병신아??
배타고 가도 한시간 거리다 좆병신아. 진도하고 제주도 사이야 병신아..
무슨 수로 1시간만에 갈래?? 서울에서 응급환자 신고해도 한시간 걸리는데.. 바다 한가운데 고속도로 뚫어놨냐??? 너 전라도지?",0
145,ㅋㅋㅋㅋㅋㅁㅊ,0
146,"@충청도홍어사냥꾼 대깨문 가장 강력한 지지층이 30대 40대 여자다.

리얼미터 저번주 조사나 쳐보구 와라",3
147,와 미국에서는 어린애 관련 범죄 일으키면 관 짜놔야 하는데...씨발ㅋㅋㅋ,2
148,"@익명_2ae7f1 대단한 논리력을 갖춘 홍어노 ㄷㄷ



20세기부터 이어져온 여자납치ㅡ>흑산도창녀 남자납치 ㅡ>염전노예



이걸 경찰과 공무원 마을주민이 한통속으로 꽁꽁 감춰온 전라카르텔의 실상이 밝혀진게 저때인데 박근혜를 물고늘어지노 ㅋㅋ 애미 홍어새끼



에휴 씨발 음식물쓰레기냄새가 진동을 하는구나 애미디진새끼야 ㅅㄱ",3
149,아오 고문관새끼,2
150,좆테르트 ㅋㅋ,0
151,근대 미국까지 날아가는 미세먼지가 일본은 비껴가노,2
152,@나왜 ㅇㅇ 일게이들이 존나게 좋아할만한 떡밥인 허본좌가 아직 살아남은 이유임,1
153,미국 대한민국 일본 입장에서는 친중은 매국이다. 명심해라.,2
154,자랑스럽다 나의 모교 후배생들!,1
155,"@익명_9f004a 헛소리하지마라
누구냐고 물어보면 ""모르는 사람인데요"" 라고하지
일반인이 ""젊은 남자고, 키는 177정도에~~"" 이렇게 말하겠냐
성별이나 인상착의가 궁금했으면
""남자냐"" 또는 ""어떤 옷을 입었는지 말해달라""라던식으로 구체적으로 물어봐야지
그냥 일반이랑 별 다를바없이 훈련되지 않는 방법으로 물어본 것임",3
156,나도 일본 좋아하는데....일본 국기도 심플하고 너무 좋아,2
157,"이게 ㄹㅇ 제 3자의 시각 인 거지
긍께 머갈이가 있다면 그 아무리 머깨문 이라해도 분별 가능 한거

아 물론 짱깨,좆족 댓글 부대는 제외",1
158,락커,0
159,나도 일본여자랑 결혼할거라 ㅁㅈㅎ,3
160,"토착왜구 전라도 ㅇㅂ
CIS-AB형과 전방후원분으로 혈통적으로도 일본 규슈 왜구 새키들이랑 일치",0
161,공익과롭혀서 ㅇㅂ,3
162,@스쓰스 왜왜?,0
163,정말 불행+사연팔이로 포르노를 찍어버리네.,1
164,@심영 말귀 못알아듣는 너는 개표 참관도 가지마라 암 도움 안된다,1
165,크으 ~ㅆㅅㅌㅊ!,0
166,ㅁㅈㅎ수 클린해진거 보소,1
167,DOUBLE TRAP ILBE,0
168,"양예원 사건 잘보면 전에 사진 찍은 정황은 확실이 강제성은 없다는게 카톡으로 증명되는 펙트 같은데..
이미 실장은 자살을 했고 그 가족은 얼마나 고통 스럽겠노
양예원도 아마도 평생을 고통을 받으며 살듯",1
169,@익명_3cc4f8 예쁜 여자 발 넘모 좋다.,3
170,중국인은 바퀴벌레다,2
171,전 라 도,0
172,@RX450h 후자가이지?,1
173,@간첩문재앙 스탠포드 재학생이라고,2
174,ㄴㅈㅎ 그래도 ㅇㅂ,0
175,@존매케인 개돼지 달창에 정신병에 나라 좆되는 중,1
176,중국군이 포위당햇단 소식듣고 모택동이 잠을 못잤다는 저 전투 한국군을 졸로보던 중국이 대패한뒤 휴전에 나섬 장도영 6사단장,2
177,@너굴맨 태양 : 키작음,2
178,@molar,0
179,좆됐음 ㅁㅈㅎ,0
180,디젤이 이태리 브랜드 말하는거냐?,2
181,@연세대X김세무사 깽깽이 ㅋ,0
182,일베여신이다,3
183,천베감이다ㅋㅋ,2
184,@어2o2 노무현이 전화 받지 않음?,1
185,개가튼 것들..,0
186,상병신,0
187,개짱깨좆족들,2
188,여자들이나 틀딱들이나 저런거 당하지 컴퓨터 조금이라도 익숙한 젊은 남성층은 저런거 안당한다,3
189,근데 남자들 와꾸가 ㅍㅌㅊ되는애도 없냐; 죄다 ㅎㅌㅊ네,3
190,폰은 변기에 두고 물내리는거 잊지마라,3
191,진짜 시발 나라 꼬라지봐라,0
192,"@김소희케이팝6 ㅇㅇ

희토류는 우리나라도 많고

미국도 전나게 많음

근데 캘때 중금속 배출 및 환경오염이 어마어마해서

안캐는것일뿐

희토류 반도체류엔 필수소재임",2
193,프로필은 무슨 심마니 같은데 연ㅡ의네ㄷㄷ,1
194,Jtbc여자 기자들 특징이 표정에서부터 '난 진실을 추구하는 엘리트 기자야!! 존엄인 손석희 사장님과 진실을 찾아 싸울거야!!!' 라는 오만하고 거만함이 얼굴에 딱 보임 프라이드가 대단하더라 근데 실상은 총알받이,3
195,@이니텐 ㄹㅇ 존나 든든함,0
196,"한미일 섹스의 차이점

미국은 섹스를 스포츠하듯 함

일본은 섹스를 음식먹듯이 함

한국은 섹스를 일하듯이 함 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",2
197,"@한슨상제갈량 이미 짱꼴라들이 북한을 지들 집 드나들면서 들락날락 거리며 온갖 바이러스 다 퍼트리고 있는데

우한폐렴 바이러스 소식 들리니까 입국금지 한다고 바이러스가 안 퍼질까?

북한은 중국이나 다를 바가 없기 때문에 퍼지는걸 막을 방법도 없고 아마 중국처럼 한 곳에 모아놓고 그냥 죽여버릴거다

문제는 2차 3차 감염을 막으려면 짱꼴라 입국 금지를 해야 하는데 문병신 정부는 그걸 안 하고 계속 버티고 있다는거

그럼 일본은? 이러면서 다른 나라 얘기하지 말자

여기는 대한민국이고 대한민국 의사들이 입을 모아 말하잖냐 입국 금지 해야 한다고",2
198,@익명3a0523 대환영이지,0
199,부산도 독립시켜주자,0
200,@Neun ㄹㅇ 주변에 여자 꼬시려고 교회다니는 새끼들은 하나같이 다 문재앙 뽑더라,3
201,ㄴㄷㅌ,0
202,이 새낀 인상부터 아웃,1
203,"@메에롱 어디가서 줘도안먹는 느개미같은 씹돼지년 따먹고는 여자먹어봤다 자랑하지마 ㅋ

ㄹㅇ 봊나추해",3
204,신은희 ㄷㄷㄷㄷ,0
205,"@유동닉네임302 안망함.,...
장비파는 중국놈들은 떼돈 벌었고 경쟁자가 될수있었던 한국업체는 뒈졌고
임야를 형질변경햇으니 그것만으로도 땅주인들은 대박 쳐먹기위한 가장 힘든산을 넘엇음...땅으로 대박나는데 핵심은 형질변경",2
206,"더디어 역사의 수레바퀴가 굴러서 그 사이클이 도래했다 ㅋㅋ.
명. 당. 중 순으로 멸망 가즈아",1
207,방송국에 제보해라,1
208,본거 또 보고 본거 또 보고,0
209,"wgbi 미편입

싱가포르, 일본, 말레이시아는 편입됨",2
210,"저게 중국인 면상이 아니라고?

완전 비단장수 왕서방 아니냐?",1
211,나의라임오렌지나무,0
212,USA no.1,0
213,짱,0
214,"축
폐 업",0
215,모든웹사이트가 일게이들로 가득하길 간절히 소망한다,2
216,멍청도 새끼들은 저래도 뽑아줌 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
217,먼지앙~,2
218,"술집가보지도 않은것들이 술집여자면 다 강간된다고 쳐지끼네.
강간.폭력이 불륜보다 더 나쁘냐?",3
219,"중국라인 북한라인 꼬봉이 문재인이고, 꼬봉을 대우해 줄 필요거 없으니 중국이 무시하는것이고, 같은편이 아닌 미국 또한 대우해 줄 필요가 없기때문에 무시하는거다.",2
220,이쁜여자 뭐라고해서 ㅁㅈㅎ 데헷,3
221,좌빨 아니더라도 저런 눈홑꺼풀 무쌍에 웃을 때 눈웃음치고 입술 얇은 새끼들은 기회주의자에 영악함의 극치다. 남자인데 눈웃음 살살치면서 애교도 있고 웃기고 이런 놈들 조심해라,3
222,+ㅂ+,0
223,KBS출신이 좀 그러네,0
224,안경테는 왜 다이소서 안사셨나모르겠네,3
225,@익명eec12a 그렇지,0
226,@익명0dd734 짱개 토착짱개들이지 뭐,2
227,"@익명9fdbf4 안그래도나도 일본가려고 돈모으고있다
투자바자로 건너가서 가게차리는게 조금이나마
성공가능성이 있다고 봐서 ㅠㅠ ㅋㅋ",1
228,"병장: 오늘은 훈련하지말고 전원 내무실에서 쉰다.

중대장: 니가 뭔데 오다를 내리고 이래라 저래라하냐 옆에와서 무릅꿇어

소대장: 중대장 분위기 깨지말고 그만하시죠!!!

중대장: 소대장 니가 뭔데 개지랄이냐",1
229,갓찰~~~~,0
230,한 대 맞으니까 말 잘듣네,0
231,근데 왜 김창렬이라고 하냐? 쟤 본명이 뭔데,0
232,@한전999 벅창!! 난 틀탁이 노무노무 좋아 난 짱깨 조선족 바퀴벌레 김무성 만세 시진핑 fuck!!!,1
233,"@좃문캬1berg 사실상 믄재앙과 좌빨들의 적은
북한이 아니고
보수당과 우파임..
북한.중국엔 설설기고..
적패란 이름 으로 우파에겐
정치보복 살벌하게 진행중..",2
234,북한언론이냐?,2
235,북한인권은 아몰랑,2
236,@익명0dc2ad 아직도 좃세연빠는 개병신틀딱새끼가있네 ㅋㅋㅋㅋㅋ,0
237,근데 저새끼는 뭔데 선거때마다 야당 여당 기웃거리냐? 황교안은 속을 알수가 없네..,1
238,@익명_4ead6c 미국엉덩이따듯한걸아는거지,2
239,촌철살인이노,1
240,"갤럭시에 일본제품 많이 쓰이는건 알고도 모른체 하는거야
아니면 모르는거야?",2
241,전씨들이 의인이많네,3
242,@익명d8fe12 으...응,0
243,아마존 부족 인줄 알겠네,2
244,개어이없네 ㅋㅋㅋㅋㅋ,0
245,@3층암호실의서기 그런거 줄줄이 꿰고있는 너도 참..,1
246,요즘은 남자가 여잘 잘만나야된다 ㅇㅂ,3
247,일게이 퀄리티 살아잇노,1
248,짤 잘만들었노,0
249,"ㅅㅂ 크긴 뭐가 커

데미지 1도 안먹히겠구만 ㅁㅈㅎ",1
250,@이유목염 ㅅㅂ 4개나있네,0
251,"홍팍새끼들이 갑자기 쳐 돌았나?
저것들이 안하던 짓을 하네?",1
252,"ㄴㄷㅎ
ㅁㅈㅎ",0
253,@광동제약운지천F 아직 한발 남았다..,0
254,"@김정은친모박근혜 솔직히 일본에서 여성인권 워낙 바닥이어서 일본여자들 존나 불쌍하긴한데

전체적으로 나라가 원활히 돌아가려면 그게 맞는것 같기도함. 물론 한국이라는 개병신 나라에 비교해봤을때 얘기긴하지만.",3
255,이게 진짜 사람sekkip니까? 사람sekki에요?,0
256,지디 현역아니냐? 공익 아닌거 같은데,3
257,이거 보고 있는 경찰들 다 전라도여,0
258,@익명1f6a44 리플리증후군,2
259,리플리 증후군,2
260,"나 이거 일베가는거 인정못해.... 아무리 클린해졌다지만 글자 몇개 올리고
증거 사진도 없이 1천배 받는 게 말이 돼?? 일본 게이트 있는거 아니야?
일베가 너무 씹선비 되어버렸노 나는 ㅁㅈㅎ 줬다.",1
261,그냥 분탕 치는거임 저거,0
262,"개중국이 소련처럼 분열하고 대한민국이 북진 자유통일하는 날, 극진히 모셔야 할 것이다.",2
263,딱봐도 술집창녀 관상,3
264,"중공 통계는 모두 가짜
최소한 곱하기 200배는 해야 맞다.",1
265,@익명55db53 이타적인 마음 = 중국을 섬기는 마음. 씨발 조선시대도 아니고 니들 쪽팔리지 않냐? 대깨문병신새꺄?,2
266,나 엄마한테 초콜릿 받았다 크렁키 으헤헤헤,3
267,재네 이제 전부 한국온다,1
268,남자들이 역지사지 지랄 해줘야 지일인줄 알지 여기 절반만 여자들처럼 방통위에 신고하고 게시판 털어봐라 설설 길거임,3
269,@익명672c63 그럼 그 산파는 지금 북한에 잇음?? 재앙맘이 양산여자인거랑 재앙이가 흥남철수때 월남했다고 한거 대체 어떻게 된거임?,3
270,씨발 대륙 짱깨가 그럼 그렇지 ㅉㅉ 바퀴벌레 같은 새끼들 ㅉㅉ,2
271,@우쭈쭈쭈리 너 씹돼지지?,1
272,섬지역일상이가....대사중에 여자는 남자ㅈ을 물고살아야제~~ㅅㅂ,3
273,@adamLi ㅇㄱㄹㅇ,0
274,성공하라고ㅇㅂ,0
275,"근데 궁금해서 묻는건데 31번확진자가 대남병원 들렀다는
동선 있음? 있다면 모든 얘기가 맞아떨어지겠는데..
물론 난 짱개or좆족새끼 아님ㅋ",1
276,난 알았는데 별 말 없이 넘어가더라? 그리고 나도 잊었지,0
277,주적은 북한이지 일본인가 ㅋㅋㅋ,2
278,이쁜 스시알바베,3
279,"최소 2번이상 잠수함 탔을거라 예상함 송두율이는

북에 친척도 없는 당서열까지 있었음",1
280,"일본이 뭘잘나가

재팬패싱 ㅈㄴ당하고

미국한테털리고 소련한테털리고 북한한테도무시당하고

동네북 다됬는데

오죽하면 열도역사상최초로 반정부운동이 일어나겠냐 ㅋㅋ",2
281,"아직도 안나왔냐?
이를 갈겠군",0
282,"대대장: 국군을 위해 건배

사단장 : 니가 뭔대 건배사냐?

연대장: 사단장 그만하시죠 분위기 망치지 말고

사단장: 넌 또 뭐냐 죽을려고",1
283,짱개 원폭 투하 말곤 노답 아니노,2
284,@관통홀 ◆~,3
285,와 진짜 완벽하네... 펜앤마이크 기사 읽는 존예녀라니...,1
286,해당 여경은 최선을 다한거 맞음 최선을 다해도 안되는 직종임 그래서 여자는 뽑지말라 이가,3
287,@익명d50495 1+1 해서 가슴살 다 버리고 맛있는것만 먹어 ㅋ,3
288,@익명의검찰관계자 뉴스좀봐라 씹새꺄,1
289,@저능한보수우파 병신새끼가 꼴에 우파까보려고 되도 않는 개소리로 어그로 끄는거보소 ㅅㅂ,1
290,@블루리아,1
291,"근데 아닌거 같음
대탈출만 봐도 유병재랑 시즌 계속 이어나감
강호동정도면 쳐낼 힘 있을텐데",1
292,"뒤에 견찰들 보소

좆같게",0
293,"아니 외부감염원의 유입을 막으면 감염이 덜확산되는건 너무 당연한 상식아니냐? 왜 중국인 안막았노진짜 경제타령하지말고 시발 언제 경제걱정했다고ㅋㅋ
경제걱정했는데 코로나터지기전에도 경제가 이모양이었노 ㅋㅋㅋ",1
294,알겠어 대집이형ㅠㅠ,1
295,ㅂㅇㅅㅂ ㅇㅂ,0
296,와ㅡ답이없다,0
297,반듯이 ㅁㅈㅎ,0
298,@대만과중국은쓰레기 응 아니야 한국인이야,2
299,@메리레녹스 훈훈한 외모????,3
300,칠푼이같은게 대통령질못하니까 탄핵됐지,1
301,여자 얼굴에 오줌 쌌나 보군!,3
302,짱개라는 올바른 표준어 사용 안하고 중국이라는 족같은 단어 써서 ㅁㅈㅎ,2
303,@보지탕수육 그럼 자원도 없는 좁은 땅덩이에 인구 넘쳐 나는게 좋겠냐?,3
304,우리나라 전체 수출중에 중국 수출량이 33%임,2
